iata	icao	airline	callsign	country	comments	active
QO	MPX	Aeromexpress	AEROMEXPRESS	Mexico		1
MR	MRT	Air Mauritanie	MIKE ROMEO	Mauritania		1
3S	AEN	Aeroland Airways		Greece	defunct, ICAO code no longer allocated	0
8D	SUW	Astair		Russian Federation	Name changed to Interavia Airlines	0
F4	NBK	Albarka Air	AL-AIR	Nigeria		1
AJ	NIG	Aero Contractors	AEROLINE	Nigeria		1
8Y	PBU	Air Burundi	AIR-BURUNDI	Burundi		1
OT	PEL	Aeropelican Air Services	PELICAN	Australia		1
AD	PRZ	Air Paradise International	RADISAIR	Indonesia	Defunct 2005	0
QD	QCL	Air Class Líneas Aéreas	ACLA	Uruguay		1
QS	QSC	African Safari Airways	ZEBRA	Kenya		1
4Y	RBU	Airbus France	AIRBUS FRANCE	France		1
MC	RCH	Air Mobility Command	REACH	United States	United States Air Force	1
RE	REA	Aer Arann	AER ARANN	Ireland		1
UU	REU	Air Austral	REUNION	France		1
6K	RIT	Asian Spirit	ASIAN SPIRIT	Philippines		1
A5	RLA	Airlinair	AIRLINAIR	France		1
QL	RLN	Aero Lanka	AERO LANKA	Sri Lanka		1
R3	RME	Armenian Airlines	ARMENIAN	Armenia	defunct	0
MV	RML	Armenian International Airways	ARMENIA	Armenia	defunct	0
2O	RNE	Air Salone	AIR SALONE	Sierra Leone		1
U8	RNV	Armavia	ARMAVIA	Armenia	defunct, ICAO code no longer allocated	0
BQ	ROM	Aeromar Lineas Aereas Dominicanas	BRAVO QUEBEC	Dominican Republic	defunct	0
P5	RPB	AeroRepública	AEROREPUBLICA	Colombia		1
BF	RSR	Aero-Service	CONGOSERV	Republic of the Congo		1
5L	RSU	AeroSur	AEROSUR	Bolivia		1
EX	SDO	Air Santo Domingo	AERO DOMINGO	Dominican Republic		1
JR	SER	Aero California	AEROCALIFORNIA	Mexico		1
Z3	SMJ	Avient Aviation	AVAVIA	Zimbabwe		1
M3	SPJ	Air Service	AIR SKOPJE	Macedonia		1
GM	SVK	Air Slovakia	SLOVAKIA	Slovakia	ICAO code no longer allocated	1
R3	SYL	Aircompany Yakutia	AIR YAKUTIA	Russia		1
VW	TAO	Aeromar	TRANS-AEROMAR	Mexico		1
JY	TCI	Air Turks and Caicos	KERRMONT	Turks and Caicos Islands	ICAO code no longer allocated	1
OR	TFL	Arkefly	ARKEFLY	Netherlands		1
CG	TOK	Airlines PNG	BALUS	Papua New Guinea		1
TY	TPC	Air Calédonie	AIRCAL	France		1
FL	TRS	AirTran Airways	CITRUS	United States	defunct, last flight 12/30/2014, now part of Southwest Airlines	0
TS	TSC	Air Transat	AIR TRANSAT	Canada		1
EC	TWN	Avialeasing Aviation Company	TWINARROW	Uzbekistan		1
DW	UCR	Aero-Charter Ukraine	CHARTER UKRAINE	Ukraine		1
U7	UGA	Air Uganda	UGANDA	Uganda		1
6U	UKR	Air Ukraine	AIR UKRAINE	Ukraine		1
6R	DRU	Alrosa Air Company	MIRNY	Russia		1
AD	AZU	Azul Linhas Aéreas Brasileiras	Azul	Brazil		1
6A	CHP	Aviacsa	AVIACSA	Mexico		1
JZ	SKX	Avia Express	SKY EXPRESS	Sweden	Former names: AMA-Flyg I Goteborg; Salair; former ICAO code: AAX	1
WD	AAN	Amsterdam Airlines	AMSTEL	Netherlands	Former IATA code: FH*	1
AQ	AAH	Aloha Airlines	ALOHA	United States	Ceased operations; former IATA code: TS	0
3J	AAQ	Air Alliance	LIAISON	Canada	defunct	0
OB	AAT	Austrian Airtransport	AUSTRIAN CHARTER	Austria	defunct; former IATA code: U8, OG; former ICAO code: AUC	0
SM	AAW	Aberdeen Airways		United Kingdom	defunct; subsidiary of Air Provence	0
KJ	AAZ	Asian Air		Kyrgyzstan		1
BX	ABL	Air Busan		Republic of Korea		1
AK	ABR	Air Bridge Carriers	AIRBRIDGE	United Kingdom	defunct	0
YE	ACQ	Aryan Cargo Express		India		1
VJ	AFF	Africa Airways	AFRIWAYS	Benin		1
QH	FLA	Air Florida	PALM	United States	relaunching	1
3O	MAC	Air Arabia Maroc	ARABIA MAROC	Morocco	This ICAO designator was previously used by Malta Air Charter	1
HD	ADO	AIRDO	AIR DO	Japan		1
X9	NVD	Avion Express	NORDVIND	Lithuania	Name changed from Nordic Solutions Air	1
8Q	BAJ	Baker Aviation	RODEO	United States		1
BA	BAW	British Airways	SPEEDBIRD	United Kingdom		1
BG	BBC	Biman Bangladesh Airlines	BANGLADESH	Bangladesh		1
BF	BBD	Bluebird Cargo	BLUE CARGO	Iceland		1
B4	BCF	BACH Flugbetriebsges	BACH	Austria		1
WX	BCY	CityJet	CITY JET	Ireland		1
BZ	BDA	Blue Dart Aviation	BLUE DART	India		1
JA	BON	B&amp;H Airlines	Air Bosna	Bosnia and Herzegovina		1
J4	BFL	Buffalo Airways	BUFFALO	Canada		1
A8	BGL	Benin Golf Air	BENIN GOLF	Benin		1
4T	BHP	Belair Airlines	BELAIR	Switzerland		1
UP	BHS	Bahamasair	BAHAMAS	Bahamas		1
BS	BIH	British International Helicopters	BRINTEL	United Kingdom		1
B4	BKA	Bankair	BANKAIR	United States		1
PG	BKP	Bangkok Airways	BANGKOK AIR	Thailand		1
KF	BLF	Blue1	BLUEFIN	Finland		1
JV	BLS	Bearskin Lake Air Service	BEARSKIN	Canada		1
B3	BLV	Bellview Airlines	BELLVIEW AIRLINES	Nigeria		1
BD	BMA	BMI	MIDLAND	United Kingdom	Ceased operations	1
BM	BMR	BMI Regional	MIDLAND	United Kingdom		1
WW	BMI	Bmibaby	BABY	United Kingdom	Ceased operations	1
CH	BMJ	Bemidji Airlines	BEMIDJI	United States		1
5Z	BML	Bismillah Airlines	BISMILLAH	Bangladesh		1
BO	BOU	Bouraq Indonesia Airlines	BOURAQ	Indonesia		1
BV	BPA	Blue Panorama Airlines	BLUE PANOROMA	Italy		1
7R	BRB	BRA-Transportes Aéreos	BRA-TRANSPAEREOS	Brazil		1
8E	BRG	Bering Air	BERING AIR	United States		1
B2	BRU	Belavia Belarusian Airlines	BELARUS AVIA	Belarus		1
BN	BNF	Braniff International Airways	Braniff	United States	defunct	0
GQ	BSY	Big Sky Airlines	BIG SKY	United States		1
V9	BTC	BAL Bashkirian Airlines	BASHKIRIAN	Russia		1
BQ	BTL	Baltia Air Lines	BALTIA	United States	Callsign changed from "BALTIA FLIGHT" in 2015	1
Y6	BTV	Batavia Air	BATAVIA	Indonesia	As of June 1, 2010, IATA code changed to Y6.	1
L9	BTZ	Bristow U.S. LLC	BRISTOW	United States		1
1T	BUC	Bulgarian Air Charter	BULGARIAN CHARTER	Bulgaria		1
BU	BUN	Buryat Airlines Aircompany	BURAL	Russia		1
J8	BVT	Berjaya Air	BERJAYA	Malaysia		1
QW	BWG	Blue Wings	BLUE WINGS	Germany	defunct	0
SN	BXI	Brussels International Airlines	XENIA	Belgium		1
8W?		BAX Global				1
DB	BZH	Brit Air	BRITAIR	France		1
E9	CXS	Boston-Maine Airways	CLIPPER CONNECTION	United States	Pan Am Clipper Connection Pan Am III	1
SN	BEL	Brussels Airlines	BEE-LINE	Belgium		1
NT	IBB	Binter Canarias	BINTER	Spain		1
0B	BMS	Blue Air	BLUE MESSANGER	Romania		1
KJ	LAJ	British Mediterranean Airways	BEE MED	United Kingdom		1
FB	LZB	Bulgaria Air	FLYING BULGARIA	Bulgaria		1
8N	NKF	Barents AirLink	NORDFLIGHT	Sweden	previously Nordkalottflyg	1
5C	ICL	CAL Cargo Air Lines	CAL	Israel		1
AW	SCH	CHC Airways	SCHREINER	Netherlands	formerly Schreiner Airways	1
3C	CMV	Calima Aviación	CALIMA	Spain		1
MO	CAV	Calm Air	CALM AIR	Canada		1
R9	CAM	Camai Air	AIR CAMAI	United States	Village Aviation	1
K6	KHV	Cambodia Angkor Air	ANGKOR AIR	Cambodia		1
UY	UYC	Cameroon Airlines	CAM-AIR	Cameroon	defunct	0
C6	CJA	CanJet	CANJET	Canada		1
CP	CDN	Canadian Airlines	CANADIAN	Canada	defunct	0
5T	MPE	Canadian North	EMPRESS	Canada	Air Norterra	1
CP	CPC	Canadian Pacific Airlines	EMPRESS	Canada	ICAO Code and callsign no longer allocated	0
W2	CWA	Canadian Western Airlines	CANADIAN WESTERN	Canada		1
9K	KAP	Cape Air	CAIR	United States		1
PT	CCI	Capital Cargo International Airlines	CAPPY	United States	Allocation deleted 2013	1
GG	GGC	Cargo 360	LONG-HAUL	United States		1
2G	CRG	Cargoitalia	WHITE PELICAN	Italy		1
W8	CJT	Cargojet Airways	CARGOJET	Canada		1
CV	CLX	Cargolux	CARGOLUX	Luxembourg		1
C8	ICV	Cargolux Italia	CARGO MED	Italy		1
BW	BWA	Caribbean Airlines	CARIBBEAN	Trinidad and Tobago		1
8B	GFI	Caribbean Star Airlines	CARIB STAR	Antigua and Barbuda		1
V3	KRP	Carpatair	CARPATAIR	Romania		1
RV	CPN	Caspian Airlines	CASPIAN	Iran		1
CX	CPA	Cathay Pacific	CATHAY	Hong Kong		1
KX	CAY	Cayman Airways	CAYMAN	Cayman Islands		1
5J	CEB	Cebu Pacific	CEBU	Philippines		1
7N	CNA	Centavia		Serbia		1
3B	CCG	Central Connect Airlines		Czech Republic		1
9M	GLR	Central Mountain Air	GLACIER	Canada		1
J7	CVC	Centre-Avia	AVIACENTRE	Russia		1
WE	CWC	Centurion Air Cargo	CHALLENGE CARGO	United States		1
OP	CHK	Chalk's International Airlines	CHALKS	United States		1
MG	CCP	Champion Air	CHAMPION AIR	United States		1
2Z	CGN	Chang An Airlines	CHANGAN	China		1
S8	CSU	Chari Aviation Services	CHARI SERVICE	Chad		1
RP	CHQ	Chautauqua Airlines	CHAUTAUQUA	United States	Was US*	1
C8	WDY	Chicago Express Airlines	WINDY CITY	United States	defunct	0
CI	CAL	China Airlines	DYNASTY	Taiwan		1
CK	CKK	China Cargo Airlines	CARGO KING	China		1
MU	CES	China Eastern Airlines	CHINA EASTERN	China		1
G5	HXA	China Express Airlines	CHINA EXPRESS	China		1
CJ	CBF	China Northern Airlines	CHINA NORTHERN	China	defunct.	0
WH	CNW	China Northwest Airlines	CHINA NORTHWEST	China	defunct	0
8Y	CYZ	China Postal Airlines	CHINA POST	China		1
CZ	CSN	China Southern Airlines	CHINA SOUTHERN	China		1
KN	CUA	China United Airlines	LIANHANG	China		1
XO	CXH	China Xinhua Airlines	XINHUA	China		1
3Q	CYH	China Yunnan Airlines	YUNNAN	China	defunct	0
X7	CHF	Chitaavia	CHITA	Russia		1
A2	CIU	Cielos Airlines	CIELOS	Peru		1
QI	CIM	Cimber Sterling	CIMBER	Denmark		1
C7	CIN	Cinnamon Air	CINNAMON	Sri Lanka		1
C9	RUS	Cirrus Airlines	CIRRUS AIR	Germany	defunct	0
CF	SDR	City Airline	SWEDESTAR	Sweden		1
G3	CIX	City Connexion Airlines	CONNEXION	Burundi	defunct	0
WX	BCY	CityJet	CITY-IRELAND	Ireland		1
CJ	CFE	CityFlyer Express	FLYER	United Kingdom		1
CT	CAT	Civil Air Transport	Mandarin	Taiwan	defunct	0
6P	ISG	Club Air	CLUBAIR	Italy		1
BX	CST	Coast Air	COAST CENTER	Norway		1
9L	CJC	Colgan Air	COLGAN	United States		1
YD	CAT	Cologne Air Transport GmbH		Germany	defunct since 1996	0
OH	COM	Comair	COMAIR	United States		1
MN	CAW	Comair	COMMERCIAL	South Africa		1
C5	UCA	CommutAir	COMMUTAIR	United States		1
KR	CWK	Comores Airlines	CONTICOM	Comoros		1
GJ	MXC	Compania Mexicargo	MEXICARGO	Mexico		1
CP	CPZ	Compass Airlines	Compass	United States		1
DE	CFG	Condor Flugdienst	CONDOR	Germany		1
CO	COA	Continental Airlines	CONTINENTAL	United States	ICAO Code and callsign withdrawn	1
PC	PVV	Continental Airways	CONTAIR	Russia		1
CS	CMI	Continental Micronesia	AIR MIKE	United States		1
V0	VCV	Conviasa	CONVIASA	Venezuela		1
CM	CMP	Copa Airlines	COPA	Panama		1
CQ	CCW	Central Charter	CENTRAL CHARTER	Czech Republic		1
XC	CAI	Corendon Airlines	CORENDON	Turkey	Turistik Hava Tasimacilik	1
CD	CND	Corendon Dutch Airlines	DUTCH CORENDON	Netherlands		1
SS	CRL	Corsairfly	CORSAIR	France		1
XK	CCM	Corse Méditerranée	CORSICA	France	Name changed to Air Corsica	1
F5	COZ	Cosmic Air	COSMIC AIR	Nepal		1
7C	COY	Coyne Aviation	COYNE AIR	United Kingdom		1
OU	CTN	Croatia Airlines	CROATIA	Croatia		1
QE	ECC	Crossair Europe	Cigogne	Switzerland		1
CU	CUB	Cubana de Aviación	CUBANA	Cuba		1
CY	CYP	Cyprus Airways	CYPRUS	Cyprus		1
YK	KYV	Cyprus Turkish Airlines	AIRKIBRIS	Turkey	Ceased operations 2010	1
OK	CSA	Czech Airlines	CSA	Czech Republic		1
8L	CGP	Cargo Plus Aviation		United Arab Emirates		1
GJ	CDC	CDI Cargo Airlines	HUALONG	China		1
V5	VPA	DanubeWings	VIP TAXI	Slovakia	Former names VIP Air and VIP Wings	1
WD	DSR	DAS Air Cargo	DAIRAIR	Uganda		1
DX	DTR	DAT Danish Air Transport	DANISH	Denmark		1
ES	DHX	DHL International	DILMUN	Bahrain		1
L3	JOS	DHL de Guatemala		Guatemala		1
D3	DAO	Daallo Airlines	DALO AIRLINES	Djibouti		1
N2	DAG	Dagestan Airlines	DAGAL	Russia		1
H8	KHB	Dalavia	DALAVIA	Russia		1
0D	DWT	Darwin Airline	DARWIN	Switzerland		1
D5	DAU	Dauair	DAUAIR	Germany		1
DL	DAL	Delta Air Lines	DELTA	United States		1
J7	DNM	Denim Air	DENIM	Netherlands		1
1I	AMB	Deutsche Rettungsflugwacht	CIVIL AIR AMBULANCE	Germany		1
AW	DIR	Dirgantara Air Service	DIRGANTARA	Indonesia		1
DH	DVA	Discovery Airways	DISCOVERY AIRWAYS	United States		1
YU	ADM	Dominair	DOMINAIR	Dominican Republic	defunct; former IATA code: SS; former name: Aerolíneas Dominicanas, ICAO code no longer allocated	0
DO	DOA	Dominicana de Aviación	DOMINICANA	Dominican Republic	defunct	0
E3	DMO	Domodedovo Airlines	DOMODEDOVO	Russia	defunct	0
D9	DNV	Donavia	DONAVIA	Russia	formerly Aeroflot-Don	1
5D	UDC	DonbassAero	DONBASS AERO	Ukraine		1
KA	HDA	Dragonair, Hong Kong Dragon Airlines	DRAGON	Hong Kong		1
