code,name,city,country,timezone,lat,lng,terminal,gate
ILI,Iliamna,Iliamna,United States,America/Anchorage,59.754356,-154.910961,,
ILN,Wilmington Airborne Airpark,Wilmington,United States,America/Indiana/Vevay,39.42792,-83.792118,,
ILM,Wilmington Intl,Wilmington,United States,America/Kentucky/Monticello,34.270615,-77.902569,,
ILP,Île des Pins Airport,Île des Pins,New Caledonia,Pacific/Noumea,-22.5889,167.456,,
ZNA,Nanaimo Harbour Water Airport,Nanaimo,Canada,America/Vancouver,49.183333,-123.95,,
ILO,Iloilo,Iloilo,Philippines,Asia/Manila,10.713044,122.545297,,
ILR,Ilorin,Ilorin,Nigeria,Africa/Lagos,8.440211,4.493919,,
ZNE,Newman Airport,Newman,Australia,Australia/Perth,-23.4178,119.803,,
ILZ,Žilina Airport,Žilina,Slovakia,Europe/Prague,49.231528,18.6135,,
ILY,Islay,Islay,United Kingdom,Europe/London,55.681944,-6.256667,,
IMF,Imphal,Imphal,India,Asia/Kolkata,24.75995,93.896697,,
IMK,Simikot,Simikot,Nepal,Asia/Kathmandu,29.971064,81.818932,,
ZNZ,Zanzibar,Zanzibar,Tanzania,Africa/Dar_es_Salaam,-6.222025,39.224886,,
IMP,Prefeito Renato Moreira,Imperatriz,Brazil,America/Araguaina,-5.531292,-47.46005,,
IND,Indianapolis Intl,Indianapolis,United States,America/Indiana/Indianapolis,39.717331,-86.294383,,
INC,Yinchuan,Yinchuan,China,Asia/Chongqing,38.481944,106.009167,,
INH,Inhambane,Inhambane,Mozambique,Africa/Maputo,-23.876431,35.408544,,
INI,Nis,Nis,Serbia,Europe/Belgrade,43.337289,21.853722,,
INL,Falls Intl,International Falls,United States,America/Menominee,48.566186,-93.403067,,
INN,Innsbruck,Innsbruck,Austria,Europe/Vienna,47.260219,11.343964,,
ZPB,Sachigo Lake Airport,Sachigo Lake,Canada,UTC,53.8911,-92.1964,,
INT,Smith Reynolds,Winston-salem,United States,America/New_York,36.133722,-80.222,,
INV,Inverness,Inverness,United Kingdom,Europe/London,57.5425,-4.0475,,
INU,Nauru Intl,Nauru,Nauru,Pacific/Nauru,-0.547458,166.9191,,
INZ,In Salah,In Salah,Algeria,Africa/Algiers,27.251022,2.512017,,
IOA,Ioannina,Ioannina,Greece,Europe/Athens,39.696388,20.8225,,
IOM,Isle Of Man,Isle Of Man,Isle of Man,Europe/London,54.083333,-4.623889,,
ION,,,,UTC,0,0,,
IOS,Ilheus,Ilheus,Brazil,America/Bahia,-14.815964,-39.033197,,
RAB,Tokua Airport,Tokua,Papua New Guinea,Pacific/Port_Moresby,-4.34046,152.38,,
ZQN,Queenstown,Queenstown International,New Zealand,Pacific/Auckland,-45.021111,168.739167,,
RAE,Arar,Arar,Saudi Arabia,Asia/Riyadh,30.906589,41.138217,,
RAH,Rafha,Rafha,Saudi Arabia,Asia/Riyadh,29.626419,43.490614,,
RAJ,Rajkot,Rajkot,India,Asia/Kolkata,22.309183,70.779525,,
IPA,Ipota Airport,Ipota,Vanuatu,Pacific/Efate,-18.8783,169.308,,
RAI,,,,Atlantic/Cape_Verde,0,0,,
IPC,Mataveri Intl,Easter Island,Chile,Pacific/Easter,-27.164792,-109.421831,,
RAK,Menara,Marrakech,Morocco,Africa/Casablanca,31.606886,-8.0363,,
IPH,Sultan Azlan Shah,Ipoh,Malaysia,Asia/Kuala_Lumpur,4.567972,101.092194,,
RAP,Rapid City Regional Airport,Rapid City,United States,America/Denver,44.045278,-103.057222,,
RAO,Leite Lopes,Ribeirao Preto,Brazil,America/Campo_Grande,-21.134167,-47.774189,,
ZQW,Zweibruecken,Zweibruecken,Germany,Europe/Berlin,49.209445,7.401323,,
RAR,Rarotonga Intl,Avarua,Cook Islands,Pacific/Rarotonga,-21.202739,-159.805556,,
IPI,San Luis,Ipiales,Colombia,America/Bogota,0.861925,-77.671764,,
RAS,Rasht,Rasht,Iran,Asia/Tehran,37.325314,49.605817,,
IPT,Williamsport Rgnl,Williamsport,United States,America/New_York,41.241836,-76.921094,,
RBA,Sale,Rabat,Morocco,Africa/Casablanca,34.051467,-6.751519,,
ZRH,Zurich,Zurich,Switzerland,Europe/Zurich,47.464722,8.549167,,
ZRJ,Round Lake (Weagamow Lake) Airport,Round Lake,Canada,America/Rainy_River,52.9436,-91.3128,,
RBH,,,,America/Anchorage,0,0,,
ZRP,Newark Penn Station,Newark,United States,America/New_York,40.734722,-74.164167,,
RBQ,Rurrenabaque Airport,Rerrenabaque,Bolivia,America/La_Paz,-14.4275,-67.498056,,
AAA,Anaa,Anaa,French Polynesia,Pacific/Tahiti,-17.352606,-145.509956,,
RBR,PlÃ¡cido de Castro,Rio Branco,Brazil,America/Rio_Branco,-9.583,-67.4836,,
IQM,Qiemo Airport,Qiemo,China,Asia/Urumqi,38.1494,85.5328,,
AAE,Annaba,Annaba,Algeria,Africa/Algiers,36.822225,7.809167,,
IQN,Qingyang Airport,Qingyang,China,Asia/Shanghai,35.7997,107.603,,
IQQ,Diego Aracena Intl,Iquique,Chile,America/Santiago,-20.535222,-70.181275,,
RBY,Ruby Airport,Ruby,United States,America/Nome,64.7272,-155.47,,
ZSA,San Salvador,Cockburn Town,Bahamas,America/Nassau,24.063275,-74.523967,,
AAL,Aalborg,Aalborg,Denmark,Europe/Copenhagen,57.092789,9.849164,,
IQT,Coronel Francisco Secada Vignetta Intl,Iquitos,Peru,America/Lima,-3.784739,-73.308806,,
ZSE,St Pierre Pierrefonds,St.-pierre,Reunion,Indian/Reunion,-21.320039,55.423581,,
AAN,Al Ain International Airport,Al Ain,United Arab Emirates,Asia/Dubai,24.261667,55.609167,,
ZSJ,Sandy Lake Airport,Sandy Lake,Canada,America/Inuvik,53.0642,-93.3444,,
AAQ,Vityazevo,Anapa,Russia,Europe/Moscow,45.002097,37.347272,,
AAR,Aarhus,Aarhus,Denmark,Europe/Copenhagen,56.300017,10.619008,,
AAT,Altay Airport,Altay,China,Asia/Urumqi,47.866667,88.116667,,
RCE,Roche Harbor Seaplane Base,Roche Harbor,United States,America/Los_Angeles,48.608056,-123.159722,,
AAY,Al Ghaidah Intl,Al Ghaidah Intl,Yemen,Asia/Aden,16.191667,52.175,,
RCL,Redcliffe Airport,Redcliffe,Vanuatu,Pacific/Efate,-15.472,167.835,,
IRC,Circle City Airport,Circle,United States,America/Anchorage,65.827778,-144.076111,,
RCM,Richmond,Richmond,Australia,Australia/Lindeman,-33.600556,150.780833,,
ABA,Abakan,Abakan,Russia,Asia/Krasnoyarsk,53.74,91.385,,
IRJ,La Rioja,La Rioja,Argentina,America/Argentina/La_Rioja,-29.381636,-66.795839,,
ABC,,,,Europe/Madrid,0,0,,
ABD,Abadan,Abadan,Iran,Asia/Tehran,30.371111,48.228333,,
ABE,Lehigh Valley Intl,Allentown,United States,America/New_York,40.652083,-75.440806,,
ZTA,Tureia Airport,Tureia,French Polynesia,UTC,-20.7897,-138.57,,
ABI,Abilene Rgnl,Abilene,United States,America/Chicago,32.411319,-99.681897,,
ABJ,Abidjan Felix Houphouet Boigny Intl,Abidjan,Cote d'Ivoire,Africa/Abidjan,5.261386,-3.926294,,
ZTB,Tête-à-la-Baleine Airport,Tête-à-la-Baleine,Canada,America/Goose_Bay,50.6744,-59.3836,,
ABK,Kabri Dehar Airport,Kabri Dehar,Ethiopia,Africa/Addis_Ababa,6.734,44.253,,
ABL,Ambler Airport,Ambler,United States,America/Nome,67.106389,-157.8575,,
ABM,Bamaga Injinoo,Amberley,Australia,Australia/Lindeman,-10.950833,142.459444,,
ZTH,Dionysios Solomos,Zakynthos,Greece,Europe/Athens,37.750853,20.88425,,
ABQ,Albuquerque International Sunport,Albuquerque,United States,America/Denver,35.0402222,-106.6091944,,
ABR,Aberdeen Regional Airport,Aberdeen,United States,America/North_Dakota/Center,45.4491,-98.4218,,
RDB,,,,America/Nome,0,0,,
ABS,Abu Simbel,Abu Simbel,Egypt,Africa/Cairo,22.375953,31.611722,,
ZTM,Shamattawa Airport,Shamattawa,Canada,America/Winnipeg,55.8656,-92.0814,,
ABT,Al Baha,El-baha,Saudi Arabia,Asia/Riyadh,20.296139,41.634277,,
ABV,Nnamdi Azikiwe Intl,Abuja,Nigeria,Africa/Lagos,9.006792,7.263172,,
ISA,Mount Isa,Mount Isa,Australia,Australia/Lindeman,-20.663889,139.488611,,
